,The Elder Scrolls V Skyrim,Fallout New Vegas,Left 4 Dead 2,Team Fortress 2,Dota 2,Robocraft,Garry's Mod,Sid Meier's Civilization V,Counter-Strike Global Offensive,Grand Theft Auto V,Portal 2,Half-Life 2,Portal,Borderlands 2,Call of Duty Modern Warfare 2 - Multiplayer,Call of Duty Modern Warfare 2,Counter-Strike Source,Unturned,Alien Swarm,War Thunder,Counter-Strike,PAYDAY 2,Heroes & Generals,Terraria,Warframe
19586574,9.240503982210477e-06,1.18287520146125e-05,4.234090013645015,6.96751874564881e-06,3.4964968565579824,-1.5877324871579626e-06,4.803994535521794,-3.1916792792187486e-06,4.736190186153276,7.420812695410328e-06,5.521416064723744,9.099539164280468e-06,1.0585395124550752e-05,1.670784839052532e-06,-3.7798703579631476e-06,-8.897493864684531e-07,1.1445134435551707e-05,5.52530767024364e-06,-6.125600221273842e-06,-1.9915955070199934e-06,5.940133489742005,1.574437414972623e-05,4.0093050298729806e-07,2.1759282407224917e-06,3.4976897265727728e-06
170491009,6.173780036718066,1.2041661083288486e-05,1.2701591381819236e-05,7.585784604805085,3.361780142644669e-06,3.7376498983749715,6.30991149970392,1.0525530081630237e-05,7.456724040745115e-06,3.153563503245315e-07,1.7759045522650862e-05,1.7685242575091227e-05,4.115030117089795e-06,5.736562138253851,1.6056247001392918e-05,2.4645195258200955e-07,2.8002698640291185e-06,2.468056748340079e-05,2.202148346430777e-05,1.5303975805077108e-05,-7.915989063207254e-06,7.71889961700727e-06,1.2590388431975512e-05,7.958552424240625,4.94875167131553
64365339,-0.0001418097714378158,-0.00014981533843612293,-0.00010894199584151885,-0.000133013509783579,-0.00012712569829302896,-0.00011097334781777137,-0.0001467595606225586,-0.00013346770688875146,-0.00014519439580524862,-0.00013366102266331933,-9.669259521449587e-05,-0.00011481168482679558,4.94138452994491,-0.00015756055145009658,6.68448099341504,5.480431343981216,-0.00011871492748668255,-0.0001505308985226855,-0.00012199689800237511,-0.00013719200503785697,-0.00016720431467184187,-0.0001240591799390602,-0.00011573063350180046,-0.00010222801636084443,-0.00015858083323028058
48239695,-7.21292998261973e-05,6.887435132461374,-5.770272216868252e-05,-6.833760112578841e-05,-6.104409523389734e-05,-4.970894398178732e-05,-5.848899279869659e-05,8.045485765290573,-5.1520964921092106e-05,-7.099510037322062e-05,-3.294729681916291e-05,5.393504450032305,0.6930822997275113,-6.327022060670003e-05,-7.433417615342294e-05,-6.350610634059225e-05,-5.852923859791595e-05,-6.816914843673911e-05,-5.4009340566439833e-05,-5.1064491699453896e-05,-6.469014014369536e-05,-7.178668035664054e-05,-5.5422280685915075e-05,-5.5543168174827376e-05,-5.714722502247296e-05
131227694,2.0612564575939427e-05,1.5209212210316424e-05,1.305325439117485e-05,1.629956443285806e-05,2.995739144753499,7.002915767840905e-06,1.634251581887713e-05,1.6168809234503817e-05,6.802395290254659,1.7148001181704558e-05,1.2402845648583093e-05,1.5733772524561455e-05,8.750722669446277e-06,5.669867395993412,1.797540407725699e-05,1.0767468382552014e-05,1.9089921424380955e-05,1.2759929245261835e-05,1.8762352957283054e-05,6.731280967281861e-06,1.4351405054891177e-05,1.3570905853691903e-05,1.2269626741254932e-05,1.8296836193994285e-05,1.3107850307688059e-05
150751526,-0.00015350651144507797,-0.00014230806514472363,-0.0001087626666217275,3.911875264975306,8.226697053207415,3.663466169065354,6.131043481297995,-0.0001359650246649385,6.272734598758216,-0.0001405376351163429,2.7724363862694843,-0.0001480856854078295,-0.00017955196491215188,-0.00015591178635995489,-0.0001516455649814807,-0.00017698603531244575,-0.00015157456185141977,6.131041502002573,3.911781021398895,4.317315332280306,-0.00016396373599740182,-0.00010083764157774691,4.330567573765986,-0.00011727200825756852,5.147322064556709
249165768,3.824886879881146e-05,3.556319535226469e-05,3.305863337890689e-05,3.8778684734536975e-05,6.38014658715149,2.155203290053567e-05,3.650200846216166e-05,3.466032567543195e-05,8.735543857470976,3.360248939353619e-05,2.94111733658352e-05,3.651678063231614e-05,4.170203108826465e-05,3.9915677663996193e-05,3.6030792267008995e-05,3.946619151098416e-05,3.3673211553693156,4.428882839784483e-05,3.8290913702575156e-05,3.049445426585583e-05,4.8098331319955405e-05,3.077469221683043e-05,2.4825223060084255e-05,3.448857529080014e-05,3.4498886748214985e-05
130280718,1.7088733358544688e-05,9.34139973067748e-06,1.7198415723419655e-05,6.52210434237296,4.584975946181327,3.784175589035187,5.087612220145783,1.0281117677342024e-05,5.105959390282552,2.307967810800177e-05,1.813420250726514e-05,1.679105477480719e-05,1.4553867888206e-05,1.8247107917893897e-05,1.9422544525094213e-05,1.9938451411748884e-05,2.764861858457339e-05,4.262699973007084,2.7462826340932688e-05,2.8688986602874044e-05,2.0867997821494297e-05,4.762162182248025,2.6116564855896386e-05,1.8630247921548975e-05,2.8612401836285492e-05
65716118,5.393483830946054,-0.00010111411709222857,-7.324601157373792e-05,-0.0001152380712678774,-8.278145109954822e-05,-5.114958413007402e-05,-0.00012239229568025367,-0.00010079614475188984,6.0866722904293775,-0.00011280252577662179,-0.00010087950410170066,-0.00011158010806003822,-0.00010942849729329789,-0.0001036461224713817,8.359213648007481,5.075057908912139,6.975280106276824,-0.00012951288698003348,5.393397737831069,-0.00010740634837661348,-0.00010632447729406746,-8.005200027730715e-05,-0.00010221343635023897,-0.0001159119921942811,-0.00010028684840035733
136021775,3.349361563080967e-05,3.0664761704979835e-05,2.5345052002155015e-05,2.890400312171477,2.762715295457217e-05,2.0372220679773247e-05,5.278127650856756,2.6566590504063994e-05,5.0689199897784105,3.1451582529591175e-05,2.5471421771703386e-05,3.697964629092102e-05,3.467584571347541e-05,3.6207667657771e-05,2.970808297836915e-05,3.153952475534852e-05,3.532016495424154e-05,4.586274548951436e-05,2.9727097207671317e-05,2.9076584144618606e-05,3.336590583817937e-05,3.142016292761823e-05,2.2584071225450596e-05,3.3453487737863545e-05,2.9801670172326445e-05
